Date,Run ,Well,ColonyID,Timepoint,A235,A280,A310,A320,A330,A334,Dilution,Notes
8/5/23,Run 1,B9,15,April_2023,0.675,0.289,0.272,0.291,0.243,0.204,4,
8/5/23,Run 1,C9,27,April_2023,0.408,0.23,0.159,0.162,0.157,0.152,8,
8/5/23,Run 1,D9,42,April_2023,0.414,0.271,0.207,0.223,0.215,0.208,8,
8/5/23,Run 1,E9,Blank,NA,0.102,0.053,0.045,0.043,0.04,0.039,NA,
8/5/23,Run 1,A10,4,April_2023,0.622,0.267,0.286,0.312,0.259,0.211,4,
8/5/23,Run 1,B10,16,April_2023,0.707,0.306,0.323,0.354,0.285,0.226,4,
8/5/23,Run 1,C10,28,April_2023,0.466,0.287,0.223,0.232,0.217,0.208,8,
8/5/23,Run 1,D10,43,April_2023,0.51,0.291,0.229,0.254,0.257,0.25,8,
8/5/23,Run 1,A11,4,April_2023,0.628,0.27,0.29,0.315,0.261,0.214,4,
8/5/23,Run 1,B11,16,April_2023,0.702,0.309,0.324,0.353,0.286,0.228,4,
8/5/23,Run 1,C11,28,April_2023,0.46,0.282,0.217,0.226,0.213,0.204,8,
8/5/23,Run 1,D11,43,April_2023,0.465,0.264,0.207,0.228,0.23,0.224,8,
8/5/23,Run 1,A12,4,April_2023,0.633,0.275,0.289,0.314,0.261,0.215,4,
8/5/23,Run 1,B12,16,April_2023,0.697,0.301,0.317,0.348,0.28,0.223,4,
8/5/23,Run 1,C12,28,April_2023,0.508,0.312,0.24,0.247,0.232,0.223,8,
8/5/23,Run 1,D12,43,April_2023,0.492,0.281,0.222,0.243,0.244,0.238,8,
8/6/23,Run 1,B1,204,April_2023,0.739,0.299,0.271,0.291,0.245,0.207,4,
8/6/23,Run 1,C1,46,April_2023,0.572,0.318,0.255,0.276,0.274,0.265,8,
8/6/23,Run 1,D1,234,April_2023,0.504,0.326,0.228,0.251,0.25,0.244,8,
8/6/23,Run 1,E1,238,April_2023,0.332,0.182,0.143,0.149,0.144,0.139,8,
8/6/23,Run 1,F1,203,April_2023,0.628,0.22,0.235,0.26,0.22,0.183,8,Data from plate 2 of 8/6/23
8/6/23,Run 1,B2,204,April_2023,0.747,0.284,0.278,0.298,0.246,0.204,4,
8/6/23,Run 1,C2,46,April_2023,0.655,0.366,0.292,0.317,0.316,0.306,8,
8/6/23,Run 1,D2,234,April_2023,0.634,0.4,0.283,0.304,0.3,0.292,8,
8/6/23,Run 1,E2,238,April_2023,0.401,0.219,0.171,0.178,0.171,0.165,8,
8/6/23,Run 1,F2,203,April_2023,0.61,0.21,0.224,0.247,0.208,0.171,8,Data from plate 2 of 8/6/23
8/6/23,Run 1,B3,204,April_2023,0.724,0.278,0.266,0.285,0.234,0.193,4,
8/6/23,Run 1,C3,46,April_2023,0.851,0.463,0.36,0.393,0.387,0.371,8,
8/6/23,Run 1,D3,234,April_2023,0.58,0.376,0.27,0.29,0.286,0.276,8,
8/6/23,Run 1,E3,238,April_2023,0.407,0.227,0.175,0.186,0.179,0.172,8,
8/6/23,Run 1,F3,203,April_2023,0.575,0.206,0.22,0.242,0.203,0.169,8,Data from plate 2 of 8/6/23
8/6/23,Run 1,B4,206,April_2023,0.858,0.362,0.294,0.308,0.26,0.221,4,
8/6/23,Run 1,C4,225,April_2023,0.514,0.292,0.221,0.232,0.218,0.208,8,
8/6/23,Run 1,D4,235,April_2023,0.624,0.395,0.297,0.323,0.315,0.302,8,
8/6/23,Run 1,E4,20,April_2023,0.793,0.34,0.3,0.317,0.264,0.223,4,
8/6/23,Run 1,B5,206,April_2023,0.818,0.351,0.273,0.294,0.257,0.223,4,
8/6/23,Run 1,C5,225,April_2023,0.511,0.282,0.213,0.221,0.209,0.202,8,
8/6/23,Run 1,D5,235,April_2023,0.6,0.38,0.294,0.324,0.318,0.305,8,
8/6/23,Run 1,E5,20,April_2023,0.756,0.317,0.28,0.303,0.256,0.213,4,
8/6/23,Run 1,B6,206,April_2023,0.717,0.304,0.251,0.264,0.225,0.192,4,
8/6/23,Run 1,C6,225,April_2023,0.498,0.281,0.218,0.227,0.214,0.205,8,
8/6/23,Run 1,D6,235,April_2023,0.586,0.376,0.281,0.305,0.294,0.28,8,
8/6/23,Run 1,E6,20,April_2023,0.843,0.354,0.298,0.315,0.265,0.226,4,
8/6/23,Run 1,A7,202,April_2023,0.486,0.202,0.242,0.265,0.216,0.176,4,
8/6/23,Run 1,B7,207,April_2023,0.521,0.213,0.186,0.197,0.17,0.144,4,
8/6/23,Run 1,C7,226,April_2023,0.516,0.277,0.2,0.2,0.185,0.178,8,
8/6/23,Run 1,D7,236,April_2023,0.443,0.265,0.208,0.22,0.213,0.205,8,
8/6/23,Run 1,E7,201,April_2023,0.758,0.296,0.252,0.268,0.234,0.203,4,
8/6/23,Run 1,A8,202,April_2023,0.509,0.208,0.255,0.275,0.222,0.18,4,
8/6/23,Run 1,B8,207,April_2023,0.524,0.21,0.177,0.185,0.16,0.139,4,
8/6/23,Run 1,C8,226,April_2023,0.501,0.272,0.198,0.2,0.187,0.18,8,
8/6/23,Run 1,D8,236,April_2023,0.4,0.234,0.181,0.19,0.185,0.178,8,
8/6/23,Run 1,E8,201,April_2023,0.771,0.275,0.255,0.26,0.221,0.192,4,
8/6/23,Run 1,A9,202,April_2023,0.485,0.212,0.241,0.269,0.217,0.175,4,
8/6/23,Run 1,B9,207,April_2023,0.531,0.222,0.191,0.201,0.173,0.151,4,
8/6/23,Run 1,C9,226,April_2023,0.538,0.286,0.206,0.202,0.186,0.178,8,
8/6/23,Run 1,D9,236,April_2023,0.385,0.228,0.177,0.189,0.185,0.178,8,
8/6/23,Run 1,E9,201,April_2023,0.815,0.313,0.266,0.276,0.238,0.206,4,
8/6/23,Run 1,B10,208,April_2023,0.733,0.315,0.309,0.337,0.282,0.234,4,
8/6/23,Run 1,C10,233,April_2023,0.481,0.252,0.216,0.229,0.215,0.2,8,
8/6/23,Run 1,D10,237,April_2023,0.373,0.208,0.153,0.151,0.141,0.136,8,
8/6/23,Run 1,E10,Blank,NA,0.102,0.053,0.045,0.043,0.04,0.039,NA,
8/6/23,Run 1,B11,208,April_2023,0.739,0.32,0.316,0.345,0.288,0.238,4,
8/6/23,Run 1,C11,233,April_2023,0.448,0.242,0.206,0.22,0.207,0.194,8,
8/6/23,Run 1,D11,237,April_2023,0.396,0.213,0.149,0.146,0.136,0.13,8,
8/6/23,Run 1,E11,Blank,NA,0.108,0.056,0.047,0.045,0.042,0.041,NA,
8/6/23,Run 1,B12,208,April_2023,0.664,0.28,0.291,0.318,0.266,0.218,4,
8/6/23,Run 1,C12,233,April_2023,0.463,0.245,0.208,0.218,0.205,0.193,8,
8/6/23,Run 1,D12,237,April_2023,0.368,0.201,0.151,0.151,0.141,0.137,8,
8/6/23,Run 1,E12,Blank,NA,0.117,0.062,0.053,0.05,0.047,0.046,NA,
8/7/23,Run 1,A1,209,April_2023,0.591,0.227,0.212,0.228,0.191,0.162,8,
8/7/23,Run 1,B1,213,April_2023,0.44,0.166,0.181,0.196,0.162,0.132,8,
8/7/23,Run 1,C1,242,April_2023,0.355,0.19,0.154,0.164,0.163,0.159,8,
8/7/23,Run 1,D1,220,April_2023,0.374,0.163,0.199,0.222,0.185,0.151,8,
8/7/23,Run 1,E1,248,April_2023,0.465,0.285,0.185,0.196,0.192,0.187,8,
8/7/23,Run 1,A2,209,April_2023,0.544,0.225,0.219,0.23,0.194,0.163,8,
8/7/23,Run 1,B2,213,April_2023,0.427,0.165,0.183,0.198,0.163,0.134,8,
8/7/23,Run 1,C2,242,April_2023,0.377,0.197,0.16,0.167,0.165,0.159,8,
8/7/23,Run 1,D2,220,April_2023,0.346,0.158,0.191,0.212,0.177,0.145,8,
8/7/23,Run 1,E2,248,April_2023,0.449,0.276,0.185,0.192,0.188,0.181,8,
8/7/23,Run 1,A3,209,April_2023,0.531,0.222,0.206,0.224,0.193,0.163,8,
8/7/23,Run 1,B3,213,April_2023,0.439,0.164,0.179,0.195,0.16,0.13,8,
8/7/23,Run 1,C3,242,April_2023,0.36,0.192,0.153,0.162,0.16,0.155,8,
8/7/23,Run 1,D3,220,April_2023,0.369,0.166,0.197,0.219,0.184,0.151,8,
8/7/23,Run 1,E3,248,April_2023,0.435,0.266,0.174,0.182,0.18,0.175,8,
8/7/23,Run 1,A4,210,April_2023,0.374,0.16,0.119,0.133,0.124,0.11,8,
8/7/23,Run 1,B4,214,April_2023,0.386,0.168,0.224,0.245,0.195,0.155,8,
8/7/23,Run 1,C4,217,April_2023,0.327,0.146,0.154,0.162,0.134,0.111,8,
8/7/23,Run 1,D4,221,April_2023,0.39,0.153,0.152,0.165,0.141,0.12,8,
8/7/23,Run 1,E4,Blank,NA,0.109,0.056,0.048,0.045,0.042,0.041,NA,
8/7/23,Run 1,A5,210,April_2023,0.377,0.159,0.133,0.134,0.119,0.107,8,
8/7/23,Run 1,B5,214,April_2023,0.369,0.16,0.215,0.237,0.192,0.152,8,
8/7/23,Run 1,C5,217,April_2023,0.326,0.148,0.151,0.16,0.133,0.111,8,
8/7/23,Run 1,D5,221,April_2023,0.376,0.149,0.148,0.16,0.137,0.117,8,
8/7/23,Run 1,E5,Blank,NA,0.105,0.054,0.046,0.043,0.041,0.041,NA,
8/7/23,Run 1,A6,210,April_2023,0.404,0.171,0.128,0.127,0.119,0.105,8,
8/7/23,Run 1,B6,214,April_2023,0.38,0.166,0.219,0.24,0.194,0.156,8,
8/7/23,Run 1,C6,217,April_2023,0.324,0.15,0.158,0.168,0.14,0.117,8,
8/7/23,Run 1,D6,221,April_2023,0.376,0.148,0.149,0.16,0.137,0.117,8,
8/7/23,Run 1,E6,Blank,NA,0.113,0.059,0.051,0.048,0.045,0.044,NA,
8/7/23,Run 1,A7,211,April_2023,0.464,0.174,0.16,0.166,0.141,0.121,8,
8/7/23,Run 1,B7,240,April_2023,0.506,0.307,0.238,0.265,0.271,0.265,8,
8/7/23,Run 1,C7,218,April_2023,0.392,0.167,0.141,0.148,0.128,0.111,8,
8/7/23,Run 1,D7,222,April_2023,0.348,0.154,0.134,0.14,0.123,0.109,8,
8/7/23,Run 1,A8,211,April_2023,0.445,0.166,0.15,0.156,0.134,0.116,8,
8/7/23,Run 1,B8,240,April_2023,0.47,0.287,0.219,0.241,0.24,0.232,8,
8/7/23,Run 1,C8,218,April_2023,0.368,0.161,0.136,0.144,0.126,0.111,8,
8/7/23,Run 1,D8,222,April_2023,0.292,0.124,0.112,0.118,0.103,0.091,8,
8/7/23,Run 1,A9,211,April_2023,0.454,0.168,0.151,0.157,0.135,0.117,8,
8/7/23,Run 1,B9,240,April_2023,0.461,0.283,0.217,0.241,0.241,0.234,8,
8/7/23,Run 1,C9,218,April_2023,0.402,0.174,0.15,0.157,0.137,0.12,8,
8/7/23,Run 1,D9,222,April_2023,0.299,0.127,0.114,0.121,0.106,0.092,8,
8/7/23,Run 1,A10,212,April_2023,0.483,0.188,0.165,0.175,0.151,0.13,8,
8/7/23,Run 1,B10,241,April_2023,0.433,0.251,0.207,0.225,0.221,0.212,8,
8/7/23,Run 1,C10,219,April_2023,0.468,0.173,0.189,0.207,0.173,0.143,8,
8/7/23,Run 1,D10,243,April_2023,0.31,0.17,0.139,0.147,0.144,0.139,8,
8/7/23,Run 1,A11,212,April_2023,0.471,0.188,0.164,0.172,0.149,0.129,8,
8/7/23,Run 1,B11,241,April_2023,0.438,0.255,0.205,0.219,0.214,0.207,8,
8/7/23,Run 1,C11,219,April_2023,0.459,0.169,0.186,0.205,0.171,0.142,8,
8/7/23,Run 1,D11,243,April_2023,0.305,0.168,0.137,0.144,0.141,0.136,8,
8/7/23,Run 1,A12,212,April_2023,0.488,0.195,0.172,0.181,0.157,0.136,8,
8/7/23,Run 1,B12,241,April_2023,0.403,0.23,0.19,0.206,0.201,0.193,8,
8/7/23,Run 1,C12,219,April_2023,0.482,0.178,0.192,0.211,0.177,0.146,8,
8/7/23,Run 1,D12,243,April_2023,0.306,0.169,0.137,0.145,0.142,0.137,8,
3/18/24,Run 1,E1,46,January_2024,0.791,0.456,0.35,0.374,0.365,0.353,9,
3/18/24,Run 1,F1,46,January_2024,0.793,0.459,0.351,0.377,0.367,0.355,9,
3/18/24,Run 1,G1,46,January_2024,0.668,0.385,0.296,0.315,0.307,0.296,9,
3/18/24,Run 1,A2,3,September_2023,0.814,0.303,0.238,0.254,0.22,0.189,5,
3/18/24,Run 1,B2,3,September_2023,0.821,0.306,0.241,0.257,0.222,0.19,5,
3/18/24,Run 1,C2,3,September_2023,0.82,0.304,0.24,0.257,0.221,0.19,5,
3/18/24,Run 1,A3,248,September_2023,0.534,0.325,0.215,0.225,0.222,0.216,5,
3/18/24,Run 1,B3,248,September_2023,0.518,0.317,0.21,0.22,0.22,0.213,5,
3/18/24,Run 1,C3,248,September_2023,0.519,0.318,0.21,0.22,0.219,0.213,5,
3/18/24,Run 1,A4,205,September_2023,0.599,0.255,0.258,0.281,0.238,0.2,5,
3/18/24,Run 1,B4,205,September_2023,0.598,0.258,0.262,0.283,0.241,0.202,5,
3/18/24,Run 1,C4,205,September_2023,0.59,0.253,0.257,0.28,0.237,0.199,5,
3/18/24,Run 1,A5,4,September_2023,0.779,0.317,0.278,0.298,0.255,0.216,5,
3/18/24,Run 1,B5,4,September_2023,0.798,0.323,0.283,0.305,0.26,0.22,5,
3/18/24,Run 1,C5,4,September_2023,0.782,0.317,0.28,0.301,0.257,0.217,5,
3/18/24,Run 1,A6,42,September_2023,0.501,0.328,0.256,0.278,0.272,0.263,5,
3/18/24,Run 1,B6,42,September_2023,0.509,0.332,0.259,0.282,0.276,0.267,5,
3/18/24,Run 1,C6,42,September_2023,0.503,0.331,0.258,0.281,0.275,0.265,5,
3/18/24,Run 1,A7,20,September_2023,0.682,0.314,0.298,0.326,0.27,0.22,5,
3/18/24,Run 1,B7,20,September_2023,0.695,0.32,0.304,0.334,0.276,0.226,5,
3/18/24,Run 1,C7,20,September_2023,0.697,0.32,0.303,0.333,0.277,0.226,5,
3/18/24,Run 1,E8,237,January_2024,0.844,0.488,0.383,0.403,0.382,0.365,9,
3/18/24,Run 1,F8,237,January_2024,0.851,0.495,0.388,0.407,0.386,0.369,9,
3/18/24,Run 1,G8,237,January_2024,0.797,0.463,0.363,0.381,0.362,0.346,9,
3/18/24,Run 1,E9,219,January_2024,0.936,0.35,0.362,0.402,0.34,0.275,5,
3/18/24,Run 1,F9,219,January_2024,0.966,0.354,0.368,0.409,0.342,0.28,5,
3/18/24,Run 1,G9,219,January_2024,0.878,0.325,0.34,0.377,0.316,0.262,5,
3/18/24,Run 1,A10,220,January_2024,0.835,0.394,0.489,0.561,0.458,0.361,5,
3/18/24,Run 1,B10,220,January_2024,0.883,0.414,0.514,0.591,0.482,0.378,5,
3/18/24,Run 1,C10,220,January_2024,0.865,0.405,0.503,0.578,0.471,0.37,5,
3/18/24,Run 1,A11,Blank,NA,0.103,0.052,0.044,0.041,0.039,0.038,NA,
3/18/24,Run 1,B11,Blank,NA,0.106,0.052,0.044,0.041,0.039,0.038,NA,
3/18/24,Run 1,C11,Blank,NA,0.104,0.051,0.043,0.04,0.038,0.036,NA,
3/19/24,Run 1,A1,45,January_2024,0.939,0.579,0.413,0.448,0.441,0.434,5,
3/19/24,Run 1,B1,45,January_2024,0.97,0.597,0.427,0.463,0.456,0.441,5,
3/19/24,Run 1,C1,45,January_2024,0.967,0.599,0.427,0.463,0.457,0.441,5,
3/19/24,Run 1,A2,206,January_2024,1.03,0.487,0.396,0.428,0.363,0.304,5,
3/19/24,Run 1,B2,206,January_2024,1.01,0.475,0.389,0.425,0.357,0.3,5,
3/19/24,Run 1,C2,206,January_2024,1.012,0.481,0.396,0.428,0.364,0.308,5,
3/19/24,Run 1,A3,244,January_2024,1.005,0.588,0.455,0.489,0.475,0.458,5,
3/19/24,Run 1,B3,244,January_2024,1.011,0.589,0.454,0.488,0.474,0.457,5,
3/19/24,Run 1,C3,244,January_2024,0.99,0.577,0.447,0.481,0.467,0.45,5,
3/19/24,Run 1,A4,201,January_2024,1,0.387,0.391,0.433,0.365,0.3,5,
3/19/24,Run 1,B4,201,January_2024,1.033,0.395,0.399,0.442,0.37,0.304,5,
3/19/24,Run 1,C4,201,January_2024,0.992,0.385,0.389,0.433,0.363,0.3,5,
3/19/24,Run 1,E5,225,January_2024,0.789,0.443,0.345,0.367,0.352,0.338,9,
3/19/24,Run 1,F5,225,January_2024,0.782,0.437,0.341,0.362,0.347,0.334,9,
3/19/24,Run 1,G5,225,January_2024,0.729,0.409,0.32,0.34,0.326,0.313,9,
3/19/24,Run 1,A6,210,September_2023,0.787,0.343,0.265,0.28,0.232,0.194,5,
3/19/24,Run 1,B6,210,September_2023,0.8,0.347,0.267,0.283,0.234,0.195,5,
3/19/24,Run 1,C6,210,September_2023,0.797,0.346,0.269,0.284,0.236,0.196,5,
3/19/24,Run 1,A7,221,September_2023,0.934,0.347,0.243,0.25,0.221,0.196,5,
3/19/24,Run 1,B7,221,September_2023,0.94,0.346,0.245,0.252,0.225,0.201,5,
3/19/24,Run 1,C7,221,September_2023,0.9,0.337,0.24,0.248,0.22,0.197,5,
3/19/24,Run 1,A8,247,September_2023,0.523,0.301,0.199,0.2,0.191,0.187,5,
3/19/24,Run 1,B8,247,September_2023,0.544,0.315,0.208,0.21,0.201,0.196,5,
3/19/24,Run 1,C8,247,September_2023,0.535,0.31,0.205,0.205,0.197,0.191,5,
3/19/24,Run 1,A9,226,January_2024,0.918,0.615,0.374,0.397,0.39,0.377,5,
3/19/24,Run 1,B9,226,January_2024,0.916,0.616,0.373,0.396,0.388,0.376,5,
3/19/24,Run 1,C9,226,January_2024,0.928,0.625,0.382,0.405,0.397,0.385,5,
3/19/24,Run 1,A10,41,September_2023,0.612,0.381,0.254,0.272,0.269,0.261,5,
3/19/24,Run 1,B10,41,September_2023,0.63,0.39,0.261,0.278,0.276,0.268,5,
3/19/24,Run 1,C10,41,September_2023,0.619,0.384,0.257,0.274,0.272,0.264,5,
3/19/24,Run 1,A11,Blank,NA,0.143,0.091,0.065,0.059,0.056,0.054,NA,
3/19/24,Run 1,B11,Blank,NA,0.102,0.051,0.045,0.041,0.04,0.041,NA,
3/19/24,Run 1,C11,Blank,NA,0.099,0.049,0.042,0.04,0.037,0.036,NA,
3/21/24,Run 1,A1,205,January_2024,0.77,0.317,0.314,0.35,0.298,0.249,5,
3/21/24,Run 1,B1,205,January_2024,0.732,0.302,0.298,0.332,0.284,0.238,5,
3/21/24,Run 1,C1,205,January_2024,0.754,0.312,0.309,0.344,0.293,0.246,5,
3/21/24,Run 1,A2,3,January_2024,0.921,0.338,0.247,0.262,0.225,0.193,5,
3/21/24,Run 1,B2,3,January_2024,0.905,0.334,0.244,0.258,0.223,0.192,5,
3/21/24,Run 1,C2,3,January_2024,0.931,0.342,0.251,0.265,0.228,0.196,5,
3/21/24,Run 1,A3,2,September_2023,0.583,0.287,0.258,0.274,0.227,0.187,5,
3/21/24,Run 1,B3,2,September_2023,0.571,0.281,0.25,0.266,0.221,0.183,5,
3/21/24,Run 1,C3,2,September_2023,0.526,0.259,0.232,0.247,0.204,0.17,5,
3/21/24,Run 1,E3,Blank,NA,0.118,0.062,0.052,0.049,0.046,0.045,NA,
3/21/24,Run 1,F3,Blank,NA,0.131,0.07,0.059,0.055,0.052,0.051,NA,
3/21/24,Run 1,G3,Blank,NA,0.118,0.064,0.055,0.051,0.049,0.047,NA,
3/21/24,Run 1,A4,239,September_2023,0.77,0.457,0.35,0.369,0.349,0.333,5,
3/21/24,Run 1,B4,239,September_2023,0.758,0.45,0.345,0.363,0.343,0.327,5,
3/21/24,Run 1,C4,239,September_2023,0.766,0.457,0.351,0.368,0.348,0.332,5,
3/21/24,Run 1,A5,19,September_2023,0.851,0.384,0.306,0.33,0.284,0.243,5,
3/21/24,Run 1,B5,19,September_2023,0.859,0.387,0.306,0.328,0.284,0.243,5,
3/21/24,Run 1,C5,19,September_2023,0.817,0.368,0.294,0.317,0.273,0.234,5,
3/21/24,Run 1,A6,240,September_2023,0.74,0.463,0.344,0.383,0.384,0.372,5,
3/21/24,Run 1,B6,240,September_2023,0.737,0.461,0.343,0.38,0.381,0.368,5,
3/21/24,Run 1,C6,240,September_2023,0.744,0.466,0.348,0.386,0.387,0.374,5,
3/21/24,Run 1,E7,29,January_2024,0.742,0.481,0.332,0.369,0.376,0.367,9,
3/21/24,Run 1,F7,29,January_2024,0.727,0.469,0.323,0.36,0.367,0.359,9,
3/21/24,Run 1,G7,29,January_2024,0.703,0.456,0.313,0.349,0.357,0.351,9,
3/21/24,Run 1,A8,240,January_2024,0.804,0.529,0.391,0.438,0.437,0.421,5,
3/21/24,Run 1,B8,240,January_2024,0.822,0.543,0.402,0.45,0.449,0.433,5,
3/21/24,Run 1,C8,240,January_2024,0.833,0.55,0.407,0.456,0.455,0.439,5,
3/21/24,Run 1,A9,242,September_2023,0.492,0.278,0.22,0.233,0.23,0.224,5,
3/21/24,Run 1,B9,242,September_2023,0.503,0.286,0.226,0.24,0.237,0.23,5,
3/21/24,Run 1,C9,242,September_2023,0.497,0.281,0.223,0.236,0.232,0.226,5,
3/21/24,Run 1,A10,202,January_2024,0.968,0.42,0.536,0.608,0.488,0.382,5,
3/21/24,Run 1,B10,202,January_2024,0.982,0.422,0.535,0.606,0.487,0.381,5,
3/21/24,Run 1,C10,202,January_2024,0.961,0.415,0.528,0.598,0.481,0.375,5,
3/21/24,Run 1,A11,43,September_2023,0.72,0.438,0.318,0.337,0.329,0.317,5,
3/21/24,Run 1,B11,43,September_2023,0.687,0.402,0.3,0.322,0.315,0.303,5,
3/21/24,Run 1,C11,43,September_2023,0.682,0.399,0.298,0.32,0.314,0.302,5,
3/21/24,Run 1,A12,20,January_2024,0.947,0.42,0.424,0.469,0.381,0.306,5,
3/21/24,Run 1,B12,20,January_2024,0.914,0.403,0.408,0.452,0.367,0.295,5,
3/21/24,Run 1,C12,20,January_2024,0.944,0.413,0.424,0.469,0.381,0.305,5,
3/22/24,Run 1,A1,213,January_2024,1.087,0.393,0.374,0.408,0.342,0.283,5,
3/22/24,Run 1,B1,213,January_2024,1.094,0.392,0.376,0.411,0.343,0.284,5,
3/22/24,Run 1,C1,213,January_2024,1.091,0.392,0.377,0.412,0.344,0.284,5,
3/22/24,Run 1,E1,Blank,NA,0.105,0.053,0.044,0.042,0.039,0.038,NA,
3/22/24,Run 1,F1,Blank,NA,0.107,0.054,0.045,0.042,0.039,0.038,NA,
3/22/24,Run 1,G1,Blank,NA,0.099,0.051,0.043,0.041,0.038,0.037,NA,
3/22/24,Run 1,A2,19,January_2024,0.916,0.366,0.3,0.328,0.283,0.24,5,
3/22/24,Run 1,B2,19,January_2024,0.927,0.369,0.305,0.332,0.287,0.244,5,
3/22/24,Run 1,C2,19,January_2024,0.933,0.372,0.306,0.333,0.288,0.245,5,
3/22/24,Run 1,A3,225,September_2023,0.525,0.299,0.244,0.259,0.249,0.239,5,
3/22/24,Run 1,B3,225,September_2023,0.532,0.3,0.245,0.26,0.25,0.24,5,
3/22/24,Run 1,C3,225,September_2023,0.542,0.309,0.253,0.268,0.258,0.248,5,
3/22/24,Run 1,A4,26,September_2023,0.625,0.364,0.264,0.282,0.279,0.27,5,
3/22/24,Run 1,B4,26,September_2023,0.615,0.356,0.257,0.276,0.273,0.264,5,
3/22/24,Run 1,C4,26,September_2023,0.613,0.357,0.258,0.277,0.273,0.265,5,
3/22/24,Run 1,E5,248,January_2024,0.534,0.334,0.215,0.223,0.217,0.211,9,
3/22/24,Run 1,F5,248,January_2024,0.534,0.335,0.215,0.224,0.218,0.212,9,
3/22/24,Run 1,G5,248,January_2024,0.503,0.315,0.203,0.211,0.206,0.199,9,
